Plant_species	Plot	Elevation	Display_size	Flower_diameter	Floral_depth	Petal_width	Petal_length	Stylus_length	Filament_length	Nectar_depth	Nectar_width	Stylus_position	Filament_position	Plant_height	Flower_inclination	Leaf_inclination	Number_leaves	Number_inflorescense	Number_flowers_per_inflo	Leaf_width	Leaf_length	Leaf_thickness	Leaf_Area	Leaf_weight_fresh	Leaf_weight_dry	Succulence	Specific_leaf_weight	Leaf_lobation
Hieracium_alpinum	Hexenkueche	2080	14.26	3.07	18	3.07	18	14.89	10.11	5.13	0.42	9.76	4.98	166	170	160	5	1	29	3.95	26.97	0.3	1.240587824	0.178	0.0622	0.933428474	0.501375225	1.34887096
Hieracium_alpinum	Hexenkueche	2080	10.91	3.26	18.13	3.26	18.13	13.35	9.18	4.99	0.39	8.36	4.19	119	175	150	6	1	20	11.04	95.15	0.31	3.065220434	0.22	0.0456	0.568963974	0.14876581	5.383144416
Hieracium_alpinum	Hexenkueche	2080	14.97	3.12	18.73	3.12	18.73	13.25	8.48	5.24	0.41	8.01	3.24	180	160	175	5	1	34	5.76	29.18	0.34	1.336808957	0.703	0.0768	4.68428938	0.574502434	1.974959987
Hieracium_alpinum	Hexenkueche	2080	16.02	3.25	19.74	3.25	19.74	13.99	10.45	6.02	0.5	7.97	4.43	287	135	90	4	1	30	8.1	56.33	0.35	0.921413576	0.429	0.0897	3.682385509	0.973504215	7.778395837
Hieracium_alpinum	Hexenkueche	2080	13.73	3.28	20.79	3.28	20.79	14.79	9.9	6.46	0.68	8.33	3.44	182	160	140	5	1	40	6.63	32.27	0.29	5.091952414	0.102	0.0546	0.093088066	0.107228025	0.660006229
Hieracium_alpinum	Hochmais	1860	21.8	2.7	14.57	2.12	14.57	14.79	8.57	5.47	0.58	9.32	3.1	147	170	165	9	1	24	10.21	72.22	0.34	4.104675653	0.323	0.2388	0.205131921	0.581775566	2.821787192
Hieracium_alpinum	Hochmais	1860	11.64	2.1	14.62	3.64	14.62	11.56	9.66	5.11	0.55	6.45	4.55	222	170	155	3	1	52	9.08	72.43	0.24	3.382266217	0.441	0.1651	0.815725263	0.488134255	3.054333271
Hieracium_alpinum	Hochmais	1860	25.4	3.01	16.6	3.65	16.6	12.3	7.84	6.23	0.59	6.07	1.61	297	180	140	8	1	41	18.27	87.77	0.29	4.302443134	0.978	0.3797	1.390605248	0.882521833	5.854494251
Hieracium_alpinum	Hochmais	1860	30.33	2.07	17.14	2.99	17.14	14.1	8.98	5.77	0.56	8.33	3.21	232	150	175	3	1	47	10.43	70.93	0.42	3.176284751	0.454	0.2452	0.657371792	0.77197109	3.658598194
Hieracium_alpinum	Hochmais	1860	33.33	3.04	17.17	2.95	17.17	12.07	8.12	5.01	0.76	7.06	3.11	189	175	170	5	1	37	10.8	48.4	0.3	3.391533277	0.42	0.1651	0.75157747	0.486800472	2.420989532
Hieracium_alpinum	Hochmais	1860	22.08	3.47	17.82	2.93	17.82	10.37	8.2	5.17	0.58	5.2	3.03	146	180	160	6	1	22	11.83	54.44	0.33	7.598778433	0.546	0.1852	0.47481316	0.243723385	1.331309272
Hieracium_alpinum	Hochmais	1860	25.99	2.71	18.01	2.51	18.01	18.27	11.2	7.67	0.57	10.6	3.53	257	170	170	9	1	57	13.71	134.29	0.39	5.295282224	2.287	0.5937	3.197752128	1.1211867	5.461499445
