"","Species","Body_length","Proboscis_length","Head_diameter"
"345","1181.2",3.67,1.100140845,0.734166667
"346","1181.2",3.67,1.100140845,0.734166667
"347","1181.2",3.67,1.100140845,0.734166667
"348","1181.2",3.67,1.100140845,0.734166667
"349","1181.2",3.67,1.100140845,0.734166667
"350","1181.2",3.67,1.100140845,0.734166667
"351","1181.2",3.67,1.100140845,0.734166667
"352","1181.2",3.67,1.100140845,0.734166667
"353","1181.2",3.67,1.100140845,0.734166667
"354","1181.2",3.67,1.100140845,0.734166667
"355","1181.2",3.67,1.100140845,0.734166667
"356","1181.2",3.67,1.100140845,0.734166667
"357","1181.2",3.67,1.100140845,0.734166667
"358","1181.2",3.67,1.100140845,0.734166667
"359","1181.2",3.67,1.100140845,0.734166667
"360","1181.2",3.67,1.100140845,0.734166667
"361","1181.2",3.67,1.100140845,0.734166667
"362","1181.2",3.67,1.100140845,0.734166667
"363","1181.2",3.67,1.100140845,0.734166667
"364","1181.2",3.67,1.100140845,0.734166667
"365","1181.2",3.67,1.100140845,0.734166667
"366","1181.2",3.67,1.100140845,0.734166667
"367","1181.2",3.67,1.100140845,0.734166667
"368","1181.2",3.67,1.100140845,0.734166667
"369","1181.2",3.67,1.100140845,0.734166667
"370","1181.2",3.67,1.100140845,0.734166667
"371","1181.2",3.67,1.100140845,0.734166667
"372","1181.2",3.67,1.100140845,0.734166667
"373","1181.2",10.435,1.34,2.79
"374","1181.2",10.435,1.34,2.79
"375","1181.2",12.27666667,2.633333333,4.29
"376","1181.2",12.27666667,2.633333333,4.29
"377","1181.2",11.72,2.62,4.17
"378","1181.2",14.2795,3.557,5.012
"379","1181.2",14.2795,3.557,5.012
"380","1181.2",14.2795,3.557,5.012
"381","1181.2",14.2795,3.557,5.012
"382","1181.2",14.2795,3.557,5.012
"383","1181.2",14.2795,3.557,5.012
"384","1181.2",14.2795,3.557,5.012
"385","1181.2",14.2795,3.557,5.012
"386","1181.2",14.2795,3.557,5.012
"387","1181.2",14.2795,3.557,5.012
"388","1181.2",14.2795,3.557,5.012
"389","1181.2",14.2795,3.557,5.012
"390","1181.2",14.2795,3.557,5.012
"391","1181.2",14.2795,3.557,5.012
"392","1181.2",14.2795,3.557,5.012
"393","1181.2",14.2795,3.557,5.012
"394","1181.2",14.2795,3.557,5.012
"395","1181.2",14.2795,3.557,5.012
"396","1181.2",14.2795,3.557,5.012
"397","1181.2",14.2795,3.557,5.012
"398","1181.2",14.2795,3.557,5.012
"399","1181.2",14.2795,3.557,5.012
"400","1181.2",14.2795,3.557,5.012
"401","1181.2",14.2795,3.557,5.012
"402","1181.2",14.2795,3.557,5.012
"403","1181.2",14.2795,3.557,5.012
"404","1181.2",9.563333333,1.38,2.816666667
"405","1181.2",9.83,2.69,2.87
"406","1181.2",9.83,2.69,2.87
"407","1181.2",7.202142857,2.690714286,1.985714286
"408","1181.2",7.202142857,2.690714286,1.985714286
"409","1181.2",7.202142857,2.690714286,1.985714286
"410","1181.2",7.202142857,2.690714286,1.985714286
"411","1181.2",7.202142857,2.690714286,1.985714286
"412","1181.2",7.8725,2.4625,2.11
